题目,选项A,选项B,选项C,正确答案,解析
【第1题】伟大建党精神是中国共产党的____。,精神之源,根本宗旨,历史起点,A,伟大建党精神是中国共产党的精神之源。
【第2题】东北抗联精神的内涵包括：忠诚于党的坚定信念，勇赴国难的民族大义，以及____。,血战到底的英雄气概,不怕牺牲的战斗意志,独立自主的创新精神,A,忠诚于党的坚定信念，勇赴国难的民族大义，血战到底的英雄气概。
【第3题】吉林省高质量发展的核心战略是实施“____”高质量发展战略。,一核一带,一主六双,双核驱动,B,“一主六双”是吉林省新时代全面振兴的重中之重。
【第4题】习近平总书记视察吉林时强调，要把保护好____作为一件大事来抓，把它比作“耕地中的大熊猫”。,长白山生态,黑土地,松花江水资源,B,总书记强调一定要采取有效措施保护好黑土地。
【第5题】吉林省中朝两国的界河主要有鸭绿江和____。,松花江,图们江,辽河,B,鸭绿江和图们江是中朝两国的界河。
【第6题】吉林省的冰雪资源是重要的经济优势，总书记指出“____也是金山银山”。,冰天雪地,高山林海,白雪皑皑,A,冰天雪地也是金山银山。
【第7题】长白山精神可以概括为：____、拼搏奉献、创新图强。,不畏艰险,艰苦创业,生态优先,B,长白山精神概括为艰苦创业、拼搏奉献、创新图强。
【第8题】吉林梨树县探索的“梨树模式”，主要解决的是____问题。,玉米秸秆还田、黑土地保护,水稻增产,农村人居环境治理,A,“梨树模式”是东北黑土地保护的有效经验。
【第9题】吉林省最大的朝鲜族聚居地，也是我国唯一的朝鲜族自治州是____。,长白,延边,伊通,B,延边朝鲜族自治州是我国唯一的朝鲜族自治州。
【第10题】长白山天池是松花江、鸭绿江和____的发源地。,图们江,黑龙江,牡丹江,A,长白山是三江之源。
【第11题】伟大建党精神是中国共产党的____。,精神之源,根本宗旨,历史起点,A,伟大建党精神是中国共产党的精神之源。
【第12题】东北抗联精神的内涵包括：忠诚于党的坚定信念，勇赴国难的民族大义，以及____。,血战到底的英雄气概,不怕牺牲的战斗意志,独立自主的创新精神,A,忠诚于党的坚定信念，勇赴国难的民族大义，血战到底的英雄气概。
【第13题】吉林省高质量发展的核心战略是实施“____”高质量发展战略。,一核一带,一主六双,双核驱动,B,“一主六双”是吉林省新时代全面振兴的重中之重。
【第14题】习近平总书记视察吉林时强调，要把保护好____作为一件大事来抓，把它比作“耕地中的大熊猫”。,长白山生态,黑土地,松花江水资源,B,总书记强调一定要采取有效措施保护好黑土地。
【第15题】吉林省中朝两国的界河主要有鸭绿江和____。,松花江,图们江,辽河,B,鸭绿江和图们江是中朝两国的界河。
【第16题】吉林省的冰雪资源是重要的经济优势，总书记指出“____也是金山银山”。,冰天雪地,高山林海,白雪皑皑,A,冰天雪地也是金山银山。
【第17题】长白山精神可以概括为：____、拼搏奉献、创新图强。,不畏艰险,艰苦创业,生态优先,B,长白山精神概括为艰苦创业、拼搏奉献、创新图强。
【第18题】吉林梨树县探索的“梨树模式”，主要解决的是____问题。,玉米秸秆还田、黑土地保护,水稻增产,农村人居环境治理,A,“梨树模式”是东北黑土地保护的有效经验。
【第19题】吉林省最大的朝鲜族聚居地，也是我国唯一的朝鲜族自治州是____。,长白,延边,伊通,B,延边朝鲜族自治州是我国唯一的朝鲜族自治州。
【第20题】长白山天池是松花江、鸭绿江和____的发源地。,图们江,黑龙江,牡丹江,A,长白山是三江之源。
【第21题】伟大建党精神是中国共产党的____。,精神之源,根本宗旨,历史起点,A,伟大建党精神是中国共产党的精神之源。
【第22题】东北抗联精神的内涵包括：忠诚于党的坚定信念，勇赴国难的民族大义，以及____。,血战到底的英雄气概,不怕牺牲的战斗意志,独立自主的创新精神,A,忠诚于党的坚定信念，勇赴国难的民族大义，血战到底的英雄气概。
【第23题】吉林省高质量发展的核心战略是实施“____”高质量发展战略。,一核一带,一主六双,双核驱动,B,“一主六双”是吉林省新时代全面振兴的重中之重。
【第24题】习近平总书记视察吉林时强调，要把保护好____作为一件大事来抓，把它比作“耕地中的大熊猫”。,长白山生态,黑土地,松花江水资源,B,总书记强调一定要采取有效措施保护好黑土地。
【第25题】吉林省中朝两国的界河主要有鸭绿江和____。,松花江,图们江,辽河,B,鸭绿江和图们江是中朝两国的界河。
【第26题】吉林省的冰雪资源是重要的经济优势，总书记指出“____也是金山银山”。,冰天雪地,高山林海,白雪皑皑,A,冰天雪地也是金山银山。
【第27题】长白山精神可以概括为：____、拼搏奉献、创新图强。,不畏艰险,艰苦创业,生态优先,B,长白山精神概括为艰苦创业、拼搏奉献、创新图强。
【第28题】吉林梨树县探索的“梨树模式”，主要解决的是____问题。,玉米秸秆还田、黑土地保护,水稻增产,农村人居环境治理,A,“梨树模式”是东北黑土地保护的有效经验。
【第29题】吉林省最大的朝鲜族聚居地，也是我国唯一的朝鲜族自治州是____。,长白,延边,伊通,B,延边朝鲜族自治州是我国唯一的朝鲜族自治州。
【第30题】长白山天池是松花江、鸭绿江和____的发源地。,图们江,黑龙江,牡丹江,A,长白山是三江之源。
【第31题】伟大建党精神是中国共产党的____。,精神之源,根本宗旨,历史起点,A,伟大建党精神是中国共产党的精神之源。
