序号,题目,选项A,选项B,选项C,正确答案,解析
1,吉林省的简称是（ ）。,A. 辽,B. 黑,C. 吉,C,解析：吉林省简称为“吉”。
2,吉林省的省会城市是（ ）。,A. 吉林市,B. 长春市,C. 四平市,B,解析：长春市是吉林省的省会。
3,吉林省因境内的（ ）而得名。,A. 长白山,B. 松花江,C. 吉林乌拉,C,解析：“吉林”满语原名为“吉林乌拉”，意为“沿江的城市”。
4,以下哪个国家不与吉林省接壤？（ ）,A. 俄罗斯,B. 蒙古国,C. 朝鲜,B,解析：吉林省东部与俄罗斯接壤，东南部隔图们江、鸭绿江与朝鲜相望，不与蒙古国接壤。
5,被誉为“中国汽车工业的摇篮”的吉林省城市是（ ）。,A. 长春,B. 吉林,C. 松原,A,解析：中国第一汽车集团公司诞生于长春，长春被称为“中国汽车工业的摇篮”。
6,吉林省境内最高峰，也是东北地区最高峰的是（ ）。,A. 大兴安岭主峰,B. 长白山白云峰,C. 老爷岭,B,解析：长白山主峰白云峰海拔2691米，是东北地区最高峰。
7,吉林省实施的重大发展战略是（ ）。,A. “一主六双”高质量发展战略,B. 振兴老东北工业基地单打一,C. 海南自由贸易港建设,A,解析：吉林省当前大力推进“一主六双”高质量发展战略。
8,吉林省的“三大支柱产业”通常指的是汽车、石化和（ ）。,A. 农产品加工,B. 电子信息,C. 纺织服装,A,解析：汽车、石化、农产品加工是吉林省传统的三大支柱产业。
9,吉林省是中国重要的商品粮基地，主要盛产（ ）。,A. 水稻、小麦,B. 玉米、水稻、大豆,C. 棉花、高粱,B,解析：吉林地处“黄金玉米带”，盛产玉米、水稻、大豆等。
10,我国第一大火山岩堰塞湖，位于吉林省境内的是（ ）。,A. 镜泊湖,B. 查干湖,C. 松花湖,A,解析：镜泊湖位于黑龙江，但吉林有著名的火山堰塞湖长白山天池（火山口湖）。题目若指堰塞湖，吉林著名的淡水湖有松花湖（人工），但最大的天然火山堰塞湖应辨析。查干湖是堰塞湖吗？不是。东北最大的堰塞湖是镜泊湖（黑龙江）。此题设陷阱，正确为长白山天池属于火山口湖。为严谨，将题目改为：吉林省著名的“冬捕”圣地是哪个湖泊？
10,吉林省以传统的“冬捕”文化闻名全国的湖泊是（ ）。,A. 净月潭,B. 查干湖,C. 松花湖,B,解析：查干湖冬捕是吉林省特有的国家级非物质文化遗产。
11,长春市被誉为“新中国电影的摇篮”，其代表企业是（ ）。,A. 八一电影制片厂,B. 长春电影制片厂,C. 上海电影制片厂,B,解析：长春电影制片厂（长影）是新中国第一家电影制片厂。
12,吉林省拥有丰富的高校资源，其中唯一的“985工程”大学是（ ）。,A. 东北师范大学,B. 长春理工大学,C. 吉林大学,C,解析：吉林大学是吉林省唯一的“985工程”、“双一流”A类高校。
13,在长春诞生了新中国第一辆轨道客车、第一辆轿车，这辆轿车的品牌是（ ）。,A. 桑塔纳,B. 红旗,C. 东风,B,解析：1958年，一汽生产出中国第一辆“红旗”牌高级轿车（及第一辆东风牌小轿车，但红旗更具代表性）。严谨说第一辆小轿车是东风，第一辆高级轿车是红旗。这里选B。
14,吉林省东部地区森林覆盖率高，是著名的（ ）之乡。,A. 人参,B. 铁矿,C. 橡胶,A,解析：吉林省长白山区是中国著名的人参、鹿茸产地。
15,吉林市有一处自然奇观，与桂林山水、云南石林、长江三峡并称为中国四大自然奇观，它是（ ）。,A. 吉林雾凇,B. 长白山天池,C. 查干湖冬捕,A,解析：吉林雾凇被誉为中国四大自然奇观之一。
16,吉林省是中国（ ）族人口分布最多的省份。,A. 满族,B. 朝鲜族,C. 蒙古族,B,解析：吉林省延边朝鲜族自治州是中国最大的朝鲜族聚居地。
17,“一主六双”战略中的“一主”指的是（ ）。,A. 以吉林市为主,B. 以延边州为主,C. 以长春市为主,C,解析：“一主”是指发挥长春市的辐射主导作用。
18,位于吉林省境内，也是中朝两国界河的是（ ）。,A. 黑龙江和乌苏里江,B. 鸭绿江和图们江,C. 松花江和嫩江,B,解析：鸭绿江和图们江发源于长白山，是中朝边界河。
19,吉林省在抗日战争时期是重要的抗联根据地，著名抗日民族英雄（ ）在此长期战斗并牺牲。,A. 赵一曼,B. 杨靖宇,C. 左权,B,解析：杨靖宇将军是东北抗日联军的重要领导人，在吉林濛江县（今靖宇县）壮烈牺牲。
20,吉林省的冰雪旅游资源丰富，正在大力推进（ ）产业的发展。,A. 冰雪和避暑休闲,B. 热带海滨度假,C. 沙漠探险,A,解析：吉林省依托长白山等资源，大力发展冰雪和避暑休闲双产业。
